Category;SubCategory;Acronym;Organisation-FR;Description;Address;Apartment;City;Province;Postal Code;Métro;Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;OpenHours;Phone1;Phone2;Fax;Website;Email;Notes
CommunityOrganizations;;CPAS;(Comité des personnes assistées sociales);Pointe St-Charles, St Henri, Verdun;1945, rue Mullins, bureau 100;bureau 100;Montréal;Québec;H3K 2L6;;;10h00-17h00;10h00-17h00;10h00-17h00;10h00-17h00;10h00-17h00;;Lundi au vendredi: 10h00 à 17h00 (sur rendez-vous);(514) 931-6025;;(514) 531-0185;;cpas@cam.org;
CommunityOrganizations;;ODAS;(Organisation d’aide aux sans-emploi);St-Henri;2515, rue Delisle, bureau 209;bureau 209;Montréal;Québec;H3J 1K8;;;10h00-15h00;10h00-15h00;10h00-15h00;10h00-15h00;;;Eté: lundi à jeudi: 10h00 à 15h00  ||  Hiver: lundi à jeudi: 09h30 à 16h00;(514) 932-3926;;;;odas@bellnet.ca;
CommunityOrganizations;;ODAS;Regroupement Montréal (Organisation populaire des droits sociaux);Bureau Central for staff consultations only-- not clients;3340, rue Ontario Est;;Montréal;Québec;H1W 1P7;;;;;;;;;;(514) 524-6996;;;;info@opdsrm.com;
CommunityOrganizations;;ODAS;Maison Aline Gendron;Pointe-aux-Trembles, Anjou, Repentigny, Centre-Sud, Mercier, Plateau Mont-Royal, Hochelaga-Maisonneuve:;3340, rue Ontario Est;;Montréal;Québec;H2K 2C5;;;;;;;;;;(514) 527-0700;;;;opds.maisonag@videotron.ca;
CommunityOrganizations;;ODAS;Maison Marie Jeanne Corbeil;Rosemont, Petite-Patrie, Parc Extension, Montréal-Nord, St-Michel, St-Léonard, Rivière des prairies, Laval;8535, boulevard Pie IX;;Montréal;Québec;H1Z 3T9;;;;;;;;;;(514) 322-5782;;;;opds.maisonmjc@videotron.cas;
CommunityOrganizations;;;St-Columba House - Welfare Rights;St-Henri, Pointe-St-Charles, Verdun, LaSalle;2365, rue Grand Trunk;;Verdun;Québec;H3K 1M8;;;;;;;;;;(514) 932-6202 ext.221;;;;info@saintcolumbahouse.org;
CommunityOrganizations;;BRAS;BRAS Villeray (Bureau de resources des assisté.e.s sociaux);Le BRAS Villeray permet aux personnes assitées sociales de s’informer, de garder leur fierté, de briser leur isolement, et les aide à défendre leur droits.;660, rue Villeray, bureau 1.101;bureau 1.101;Montréal;Québec;H2R 1J1;;;;;;;;;;(514) 495-8101;;;;brasvilleray@hotmail.com;
BudgetAndDebtProblems;;ACEF;ACEF de l’Est de Montréal;"L’Association coopérative d’économie familiale (ACEF) de l’Est de Montréal est un organisme communautaire sans but lucratif qui a comme domaines d’intervention, le budget, l’endettement et la consommation. Par son travail d’éducation, de concertation et de défense collective des droits des consommateurs, elle vise à: -  Développer l’autonomie financière des personnes -  Éveiller l’esprit critique du consommateur face à la sollicitation au crédit, la surconsommation et le gaspillage -  Dénoncer les pratiques commerciales abusives -  Influencer les décisions politiques (économiques et sociales) ayant une portée sur la qualité de vie des citoyens, particulièrement les plus vulnérables -  Travailler au développement d’une société plus juste";5955, rue de Marseille;;Montréal;Québec;H1N 1K6;Cadillac;;09h00-18h30;09h00-18h30;09h00-18h30;09h00-18h30;;;Lundi à jeudi: 9h00-18h30.;(514) 257-6622;;;http://acefest.ca/;accueil@acefest.ca;Information téléphonique et service par rendez-vous
BudgetAndDebtProblems;;ACEF;ACEF du Nord de Montréal;"L’Association coopérative d’économie familiale (ACEF) du Nord de Montréal est un organisme communautaire autonome qui intervient dans le domaine de l’éducation à la consommation. Afin d’améliorer les conditions de vie des citoyennes et des citoyens et d’augmenter leur esprit critique face à la société de consommation, elle offre des activités collectives et des services dividuels tout en luttant solidairement avec les acteurs de la communauté pour une plus grande justice sociale. Par son approche humaniste de défense collective des droits et d’éducation populaire autonome, l’ACEF du Nord de Montréal porte  la vision d’une communauté où la richesse est partagée collectivement et où l’action citoyenne est valorisée. ";7500, avenue de Châteaubriand;;Montréal;Québec;H2R 2M1;Jean-Talon;;09h00-16h30;09h00-16h30;09h00-16h30;09h00-16h30;;;Lundi à jeudi : 9h00-12h00, 13h00-16h30.;(514) 277-7959;;;http://acefnord.org/;info@acefnord.org;Information téléphonique et service par rendez-vous
BudgetAndDebtProblems;;ACEF;ACEF de l’Sud-Ouest de Montréal : Pour résidents de CDN/NDG;"L'Association coopérative d’économie familiale (ACEF) du Sud-Ouest de Montréal est un organisme communautaire à but non lucratif qui travaille à la défense des droits des citoyennes et des citoyens dans le domaine de la consommation. L’ACEF propose des outils et des activités aux citoyennes et aux citoyens pour leur permettre: de trouver une solution à leur situation d’endettement, de mieux évaluer leurs choix de consommation, d’acquérir de meilleures habitudes en matière de planification budgétaire, de réfléchir sur la société de consommation, d’en éviter les pièges et de l’envisager sous un  angle nouveau, de s’engager dans la défense de leurs droits individuels et collectifs.";6734, boulevard Monk;;Montréal;Québec;H4E 3J1;Monk;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;;Lundi à jeudi: 9h00 à 17h00.;(514) 362-1771;;(514) 362-0660;http://consommateur.qc.ca/acef-som/;acefsom@consommateur.qc.ca;Information téléphonique et service par rendez-vous
BudgetAndDebtProblems;;;Option consommateurs;;50, rue Sainte-Catherine Ouest, bureau 440;bureau 440;Montréal;Québec;H2X 3V4;Saint-Laurent ou Place-des-Arts;;;;;;;;;(514) 598-7288;;(514) 598-8511;;info@option-consommateurs.org;Information téléphonique
BudgetAndDebtProblems;;;Syndics de faillite;Rochelle Budd;8250, boulevard Decarie, suite 140;suite 140;Montréal;Québec;H4P 2P5;;;;;;;;;;(514) 731-3191 p.461;;(514) 949-9133;;;
BudgetAndDebtProblems;;;Syndics de faillite;Guylaine Houle;1 pl. Ville Marie, bureau 2720;bureau 2720;;;;;;;;;;;;;(514) 875-4000;;;;;
BudgetAndDebtProblems;;;Syndics de faillite;Ginsberg Gingras;;;;;;;;;;;;;;;(514) 878-4545;(514) 878-0180;;;;Clients can also request consultation online.
ConsumerProtection;;;Office de la protection du consommateur;L’Office de la protection du consommateur est un organisme du gouvernement du Québec. Nous intervenons auprès des commerçants afin qu’ils respectent leurs obligations envers les consommateurs. Notre action vise aussi à aider les consommateurs à faire des choix éclairés et à les informer de leurs droits, de leurs obligations et de leurs recours en cas de problème avec un commerçant.;5199, rue Sherbrooke Est, bureau 3671;bureau 3671;Montréal;Québec;H1T 3X2;;;;;;;;;;(514) 253-6556;1 888 672-2556;(514) 864-2399;;;
ConsumerProtection;;(APA);Automobilist Protection Agency (APA);"Pour aussi peu que 77 $ (plus taxes), devenez membre et bénéficiez d’une tranquillité d’esprit en plus des nombreux avantages suivants :• Accès au prix coûtant des concessionnaires pour un achat d'automobile neuve. • Accès à la liste des commerçants recommandés pour l'achat d'une automobile d'occasion. • Service de conseil d’achat ou de location automobile. • Service d’évaluation de votre véhicule d’échange pour aider à la négociation. • Accès à la liste des ateliers de mécanique automobile et de carrosserie recommandés pour trouver un réparateur automobile. • Accès à nos évaluations et enquêtes de commerçant et réparateur automobile.";292, rue Saint-Joseph Ouest;;Montréal;Québec;H2V 2N7;;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;Lundi à vendredi : 09h00 à 17h00;(514) 272-5555;(514) 273-5149;;https://www.apa.ca/default_fr.asp;apamontreal@apa.ca;For problems with car insurance, repair or purchase of a car. $52.00 membership fee includes legal consultation, assistance with small claims litigation, expert witnesses at reduced rates.
ConsumerProtection;;;Gaz Métro;Customer Service;1717, rue du Havre;;Montréal;Québec;H2K 2X3.;;;;;;;;;;1 800 875-9354;(514) 598-3222;(514) 598-3144;https://www.gazmetro.com/en/formulaire-de-plainte;info@gazmetro.com;Must first report the issue to customer service department and they will fill out a complaint report. Customer service can also be reached at info@gazmetro.com. One can also fill out a complaint form online at https://www.gazmetro.com/en/formulaire-de-plainte
ConsumerProtection;;;Commissioner for Complaints for Telecommunication Services;La CPRST est un organisme indépendant qui résout des plaintes sur les services de télécommunication et de télévision formulées par les clients. Si vous êtes incapable de régler un différend directement avec votre fournisseur de services, nous pourrions vous aider à obtenir un règlement juste et impartial.;;;;;;;;;;;;;;;1 888 221-1687;;1 877 782-2924;https://www.ccts-cprst.ca/;response@ccts-cprst.ca;Problems/complaints with phone and internet companies Must first report the issue to the companies’customer service department.
ConsumerProtection;;;Ombudsman des services bancaires et d'investissement;Complaints about banks for consumers and small businesses.  (Must first go through the Ombudsman at the  particular bank or, for ‘Desjardins’ the Ombudsman for the Province of Quebec) Visit https://www.obsi.ca/en/resource-room/list-of-participating-firms to find the ombudsman for your particular bank or investment agency.;;;;;;;;;;;;;;;1 888 451-4519;;;https://www.obsi.ca/fr/;ombudsman@obsi.ca;
ConsumerProtection;;;Ombudservice for Life and Health Insurance;(by mail, ATTN : Directrice Générale);2001 Boulevard Robert-Bourassa. 17e étage;;Montréal;Québec;H3A 2A6;;;;;;;;;;(514) 282-2088;1 888 295-8112;(514) 285-4076;;;Complaints about Canadian health and life insurance companies
ConsumerProtection;;;Service de conciliation en assurance de dommage;"Le Service de conciliation en assurance de dommages (SCAD) est un organisme indépendant établi en 2002 dans le but exclusif d’aider les consommateurs canadiens à résoudre les différends qui les opposent à leur société d’assurance résidentielle, automobile ou commerciale. Bien qu’ils soient des professionnels impartiaux et chevronnés du domaine de l’assurance et des secteurs connexes, nos employés n’entretiennent aucune affiliation directe avec quelque société d’assurance ou conseil d’administration que ce soit.  Notre objectif est de mettre à contribution notre vaste expérience et notre connaissance de l’industrie en vue de trouver des solutions équitables pour les consommateurs et leurs fournisseurs de services d’assurance. Les services du SCAD sont offerts gratuitement, en français et en anglais, à tous les Canadiens qui ont souscrit une police d’assurance résidentielle, automobile ou commerciale d’une société membre.  La majorité des dossiers sur lesquels nous travaillons ont trait aux demandes de prestations, à l’interprétation des garanties offertes ainsi qu’au traitement des polices d’assurance.  Le SCAD est dirigé par un conseil d’administration constitué de sept membres qui se sont engagés à respecter les principes d’équité et d’intégrité chers à l’organisme.  Issus d’autres secteurs d’activités que celui de l’assurance, cinq de ces sept administrateurs mettent à contribution l’expérience qu’ils ont acquise dans un vaste éventail de professions.  Incluant des représentants de toutes les régions du pays, ce conseil d’administration compte également deux administrateurs nommés par l’industrie afin de défendre le point de vue de celle-ci.";10 Milner Business Court, Suite 701;Suite 701;Toronto;Ontario;M1B 3C6;;;;;;;;;;1 877 225-0446;;(416) 299-4261;;;http://Information/Complaints on home, business and automobile insurance. Complaint form found online at https://www.giocanada.org/complaint-form/
ConsumerProtection;;FCAC;FCAC - Financial Consumer Agency of Canada;The Financial Consumer Agency of Canada (FCAC) ensures federally regulated financial entities comply with consumer protection measures, promotes financial education and raises consumers’ awareness of their rights and responsibilities.;;;;;;;;;;;;;;;1 866 461-2232;;;https://www.canada.ca/en/financial-consumer-agency.html;;For problems with financial institutions (banks, insurance  companies) Should first file a complaint with the particular financial institution, but FCAC can explain that process.
ConsumerProtection;;;Autorité des marches financiers;"Instituée le 1er février 2004 par la Loi sur l'Autorité des marchés financiers Ce lien s'ouvrira dans une nouvelle fenêtre (maintenant la Loi sur l'encadrement du secteur financier), l’Autorité est l’organisme mandaté par le gouvernement du Québec pour encadrer le secteur financier québécois et prêter assistance aux consommateurs de produits et services financiers.  Elle se distingue par un encadrement intégré des domaines de l’assurance, des valeurs mobilières, des instruments dérivés, des institutions de dépôt – à l’exception des banques – et de la distribution de produits et services financiers. Les affaires de l’Autorité sont administrées par un président-directeur général nommé par le gouvernement du Québec. Aussi, le Conseil consultatif de régie administrative, composé de sept membres indépendants nommés par le ministre des Finances, exerce les fonctions qui lui sont imparties dans la loi constitutive de l’Autorité. L'autonomie financière de l'Autorité est assurée par les cotisations et les droits versés par les personnes et les entreprises concernées par les lois qu'elle est chargée d'appliquer."; 800 Rue du Square-Victoria;22e etage;Montréal;Québec;H4Z 1A1;;;;;;;;;;(514) 395-0337;;;https://lautorite.qc.ca/grand-public/;;Help with Automobile, Home, Life, Disability Insurance. Investment help (including stocks and mutual funds). Credit Union. Should file a complaint with the company first, but will explain process.
ConsumerProtection;;;Organisme d’autoréglementation du courtage immobilier du Quebec;L’Organisme d’autoréglementation du courtage immobilier du Québec (OACIQ) assure la protection du public qui utilise les services de courtage immobilier et hypothécaire encadrés par la loi.;;;;;;;;;;;;;;;1 800 440 5100;;;;;Help with mortgages and real estate agents. Monday - Friday 9AM to 4PM, Wednesday opens at 10.
ConsumerProtection;;;Mutual Fund Dealers Association of Canada;The Mutual Fund Dealers Association of Canada is a Canadian self-regulatory organization that provides oversight to dealers that distribute mutual funds and exempt fixed income products. It is licensed under all Canadian provincial securities regulators. ;;;;;;;;;;;;;;;1 888 466-6332;;;;;Complaints with mutual fund dealers. Online complaint form too.
ConsumerProtection;;;Anti-Fraud Centre;Le Centre antifraude du Canada (CAFC) est l'organisme central du Canada chargé de recueillir l'information et les renseignements criminels sur les plaintes d'origine Canadiennes en matière de fraude, de marketing en masse (p. ex., télémarketing), de lettres frauduleuses (p. ex., Afrique de l'ouest), de fraude par internet et de fraude en matière de vol d'identité.;;;;;;;;08h30-17h00;08h30-17h00;08h30-17h00;08h30-17h00;08h30-17h00;;Lundi à vendredi: 8h30 – 17h00 (EST).;1 888 495-8501;;;;;National line re: identity theft, telemarketing fraud. Can also report incidents online: http://www.antifraudcentre-centreantifraude.ca/
ConsumerProtection;;;Bureau de la concurrence;"Le Bureau de la concurrence, en tant qu'organisme d'application de la loi indépendant, veille à ce que les entreprises et les consommateurs canadiens prospèrent dans un marché concurrentiel et innovateur. Nous sommes un organisme fédéral qui fait partie du portefeuille d'Innovation, Sciences et Développement économique Canada. Dirigé par le commissaire de la concurrence, le Bureau est responsable de l'administration et de l'application de la Loi sur la concurrence, la Loi sur l'emballage et l'étiquetage des produits de consommation (sauf en ce qui concerne les denrées alimentaires), la Loi sur l'étiquetage des textiles et la Loi sur le poinçonnage des métaux précieux.";;;;;;;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi: 8h30-16h30.;1 800 348-5358;(800) 642-3844;(819) 997-0324;http://www.competitionbureau.gc.ca/;;Enforces the Competition Act, Consumer Packaging and  Labelling Act, Textile Labelling Act and Precious Metals Marketing Act. Complaints can be submitted also by mail or online.
CommunityGroups;;;Association de la communauté noire;"La mission de l’Association de la Communauté Noire de Cote des Neiges est de soutenir le développement des institutions sociales, culturelles, éducatives et économiques dans notre communauté. L’Association de la Communauté Noire de Cote des Neiges est guidée par des principes forts qui préservent les droits de tous les membres de cette société afin qu’ils vivent dans l’égalité et la dignité.";6588, chemin de la Côte-des-Neiges;;Montréal;Québec;H3S 2B8;;;;;;;;;;(514) 737-8321;;(514) 737-6893;;info@cdnbca.org;
CommunityGroups;;;Centre d'amitié autochtone de Montréal;Le CAAM existant depuis 40 années, et comme centre culturel, il est le seul centre de service, de ressource, et de référence sur l’île de Montréal, avec le mandat de servir les peuples autochtones en milieu urbain, leurs familles, et ceux nécessitant de l`aide ou de ressources sur la santé, le plan social et légal, l’emploi, et  la formation, ainsi que sur les aspects culturels.;2001, boulevard Saint-Laurent (coin Ontario);;Montréal;Québec;H2X 2T3;;;09h00-17h00;09h00-17h00;09h00-20h00;09h00-17h00;09h00-16h00;;Lundi, mardi, jeudi: 9h00-17h00, mercredi: 9h00-20h00 Vendredi: 9h00-16h00;1 855 499-1854;(514) 499-1854;(514) 499-9436;;info@nfcm.org;
CommunityGroups;;;Centre Multi-Ethnique;Le Centre multiethnique de Québec (CMQ) est un organisme communautaire autonome ayant pour mission d’accueillir les immigrants de toutes catégories afin de faciliter leur établissement, de soutenir leur adaptation et de favoriser leurs accès à de meilleures conditions socio-économiques.;11121, avenue Salk, Bureau 15;Bureau 15;Montréal;Québec;H1G 4Y3;;;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;08h30-16h30;;Lundi à vendredi: 8h30 à 16h30;(514) 329-5044;;(514) 329-4954;;aguillaume@centre-multiculturel.qc.ca;
CommunityGroups;;;Service à la famille chinoise du Grand Montréal;Améliorer la qualité de vie et favoriser l’intégration sociale de la population d’origine chinoise défavorisée aux plans linguistique et économique, notamment les personnes âgées.;987, rue Côté, 4e étage;;Montréal;Québec;H2Z 1L1;;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;Lundi à samedi: 9h00 – 17h00;(514) 861-5244;;(514) 861-9008;;famille.chinoise@qc.aibn.com;
CommunityGroups;;;Communauté hellénique de Montréal;The Hellenic Community of Greater Montreal has been serving the Greek population of the greater Montreal area (Montreal, Laval and South Shore regions) since 1906. For over 100 years, the HCGM has continuously been representing proud Quebec citizens of Hellenic Origin, who have settled and continue to settle in the greater Montreal area.;5757, avenue Wilderton;;Montréal;Québec;H3S 2K8;;;;;;;;;;(514) 738-2421;;;;info@hcgm.org;
CommunityGroups;;;Communauté vietnamienne au Canada;"Services: - Orienter vers les ressources appropriées les personnes qui cherchent une réponse à leurs besoins: traduction, aide pour formulaires, support en situation d'urgence - Services culturels et sociaux: cours de français Banque d'emplois  - Service d'interprétation - Support aux jeunes étudiants - Cours de citoyenneté";6767, chemin de la Côte-des-Neiges, bureau 495;bureau 495;Montréal;Québec;H3S 2T6;;;;;;;;;;(514) 340-9630;;;;communaute.viet.montreal@gmail.com;
CommunityGroups;;;Entraide ukrainienne de Montréal;"REISA, un organisme communautaire, travaille pour améliorer l’accès à des services de santé et des services sociaux en anglais pour les résidents de l’Est de l’Île de Montréal, grâce à des collaborations avec des partenaires publiques, privés et communautaires. Les communautés d’expression anglaise habitant dans l’est de l’île représentent un 14,8% de la population. Cependant, il est très commun que les besoins de ces communautés soient négligés. REISA cherche à promouvoir la langue anglaise comme outil de communication et non langue de travail, dans des régions où des groupes minoritaires sont plus confortables recevant un service en anglais qu’en français. La croissance d’adhésion, l’augmentation de collaboration avec les institutions de santé et des services sociaux et l’Agence nous permet de répondre à plus de besoins observés en développant, important et partageant le réseau des services disponibles à la communauté d’expression anglaise.";3244, rue Beaubien Est, bureau 201;;Montréal;Québec;H1Y 1H7;;;;;;;;;;(514) 729-9540;;;;entraid1@bellnet.ca;
CommunityGroups;;AQIM;Association Québec Ile Maurice (AQIM);Fondée en 1978, l'AQIM - Association Québec Île Maurice est un organisme à but non lucratif qui a pour mission de faire la promotion de la culture mauricienne et assister à l’intégration de la communauté mauricienne à la culture Québécoise.;6767, chemin de la Côte-des-Neiges, bureau 693.2;bureau 693.2;Montréal;Québec;H3S 2T6;;;;;;;;;;(514) 476-5583;;;;;
CommunityGroups;;CJA;Fédération CJA (Combined Jewish Appeal);"OUR MISSION: To preserve and strengthen the quality of Jewish life and engagement in Montreal, Israel and the world";5151, chemin de la Côte-Sainte-Catherine;;Montréal;Québec;H3W 1M6;;;;;;;;;;(514) 735-3541;;;;fcja@federationcja.org;
CommunityGroups;;;Jamaican Association of Montréal;"The Jamaica Association of Montreal Inc. is committed to the social, political, economic, educational and cultural integration of the Jamaican Community and by extension the Black Community within Montreal, and the Province of Quebec. The organization is involved in assessing the needs of the community and providing the service through either a referral system or direct access. We are undertaking short and long term plans to meet the objective of a more community service based organization. Primarily we exist to serve the members of the Jamaican Community in Quebec, working in conjunction with other community organizations and the Government as a whole.";4065, rue Jean Talon Ouest;;Montréal;Québec;H4P 1W6;;;;;;;;;;(514) 737-8229;;;;info@jam-montreal.com;Adult basic education – free classes in reading, writing, math, life skills & intro to computers.
CommunityGroups;;SIARI;SIARI (Service d’interprète, d’aide et de référence aux immigrants);Le Service d’interprète d’aide et de référence aux immigrants (SIARI) est un organisme communautaire et interculturel à but non lucratif qui a pour mission et objectif d’aider et d’accompagner les personnes immigrantes et réfugiées dans leur intégration à la société québécoise.;6767, chemin de la Côte-des-Neiges, bureau 499;bureau 499;Montréal;Québec;H3S 2T6;;;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;09h00-17h00;;Lundi à vendredi :9h00-12h00, 13h00-17h00.;(514) 738-4763;;(514) 738-4925;;info@siari.org;
CommunityGroups;;;South Asian Women's Community Centre;"We believe in creating a community space for women and their families from all around the world, regardless of their origin, colour, status, age, religion, beliefs, ethnicity, gender expression or sexual orientation. We aim to create spaces to promote community-building, as well as offer a drop-in space for our services.From its conception, the guiding principles of our centre have been feminism and creating community among all women. We believe in empowerment and that every woman has the right to take charge of the outcomes of her life, and we are here for assistance, accompaniment and advocacy. We understand that an important part of advancing women’s issues is being involved in community activism. We attend social actions such as protests, marches, rallies, as well as partner with community groups to campaign for the issues that affect the women and children in our communities.";1035, rue Rachel Est, 3e étage;;Montréal;Québec;H2J 2J5;;;;;;;;;;(514) 528-8812;;(514) 528-0896;;;
CommunityGroups;;;Société Internationale du Bangladesh;Fundraising activities, we operate a food bank & clothing give-away program. We provide counselling service, immigration aid-service, cultural programs, including heritage language.;419, avenue St-Roch, bureau SS05;bureau SS05;Montréal;Québec;H3N 1K2;;;;;;;;;;(514) 928-4655;;;;isb1989@gmail.com;
EmergencyAid;Food;;Head and Hands;;5833, rue Sherbrooke Ouest, (corner Melrose)P.O. Box 446 Station NDG;;;;H4A 3P5;;;;;;;;;;(514) 481-0277;;;;info@headandhands.ca;Twice a month for youth 12-25, once a month for others.
EmergencyAid;Food;;Multi-Caf;;3591, avenue Appleton;;Montréal;Québec;H3S 1L7;;;;09h00-10h30;09h00-10h30;09h00-10h30;;;Les paniers : mardi, mercredi et jeudi 09h00 et 10h30 (preuve de résidence nécessaire);(514) 733-0554;;;;;Ils offrent aussi une popote roulante et aussi le programme « Bonne boîte, bonne bouffe »
EmergencyAid;Food;;Dépôt Alimentaire NDG;"NOTRE MISSION: Le Dépôt centre communautaire d’alimentation, anciennement Dépôt alimentaire NDG, est un organisme communautaire à but non-lucratif qui travaille en collaboration avec d’autres partenaires de la communauté pour s’attaquer aux enjeux de la sécurité alimentaire et réduire les difficultés de la pauvreté.";2146, avenue Marlowe;;Montréal;Québec;H4A 3L5;;;09h00-16h00;09h00-19h00;09h00-16h00;09h00-16h00;09h00-16h00;;Lundi à vendredi : 0900-16h00, mardi ouverte jusqu’à 19h00;(514) 483-4680;;;;info@depotndg.org;Bonne boîte, bonne bouffe », dîners deux fois par semaine, et dépannage sur mardi et vendredi. Ils peuvent livrer le dépannage à leur maison un fois par mois si ils ont une perte de mobilité.
EmergencyAid;Food;;MADA (Kosher);"Founded in 1993, MADA is a volunteer-based organization that evolved from a small neighbourhood centre to Montreal’s central address for fighting poverty in our community. We provide our patrons with many social and crisis services free of charge, as well as serving as a safe haven for those in need.";6875 blvd Décarie;;Montréal;Québec;H3W 3E4;;;09h00-20h00;09h00-20h00;09h00-20h00;09h00-20h00;09h00-20h00;;Lundi à vendredi  09h00 à 20h00.;(514) 483-4680;;;;mada@madacenter.com;Offers a kosher foodbank, cafeteria, furniture and clothing.
